,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
147,2.0,4.0,2013,652.0
148,2.0,4.0,2014,650.0
149,2.0,4.0,2016,652.0
150,2.0,4.0,2017,799.0
151,2.0,4.0,2018,1308.0
152,2.0,4.0,2019,1330.0
153,2.0,4.0,2020,3410.5
154,2.0,4.0,2021,1308.0
155,2.0,4.0,2022,1306.0
156,2.0,4.0,2004,1308.0
157,2.0,4.0,2006,1308.0
158,2.0,4.0,2010,997.0
159,2.0,4.0,2011,1308.0
160,2.0,4.0,2013,998.0
161,2.0,4.0,2014,1268.5
162,2.0,4.0,2016,1003.0
163,2.0,4.0,2017,1198.0
164,2.0,4.0,2019,1240.2222222222222
165,2.0,4.0,2020,1308.0
166,2.0,4.0,2021,1308.0
167,2.0,4.0,2022,1308.0
168,2.0,5.0,2010,875.0
169,2.0,5.0,2011,875.0
170,2.0,5.0,2012,875.724269985639
171,2.0,5.0,2013,900.4896149949342
172,2.0,5.0,2014,898.534
173,2.0,5.0,2015,875.3853820598007
174,2.0,5.0,2016,875.0
175,2.0,5.0,2017,875.6760124610591
176,2.0,5.0,2018,880.1974789915967
177,2.0,5.0,2019,876.8469945355191
178,2.0,5.0,2020,877.989247311828
179,2.0,5.0,2021,876.1946308724832
180,2.0,5.0,2022,880.8
181,2.0,5.0,2023,875.0
182,2.0,6.0,1972,499.0
183,2.0,6.0,2013,885.4242671009772
184,2.0,6.0,2014,900.7480875558585
185,2.0,6.0,2015,888.1966832888786
186,2.0,6.0,2016,880.1649457241197
187,2.0,6.0,2017,882.4525078584119
188,2.0,6.0,2018,876.5101034208433
189,2.0,6.0,2019,872.7501601537476
190,2.0,6.0,2020,870.1569920844328
191,2.0,6.0,2021,855.8611987381704
192,2.0,6.0,2022,869.3333333333334
193,2.0,6.0,2023,865.88
194,3.0,0.0,1955,896.0
195,3.0,0.0,1956,896.0
196,3.0,0.0,1957,896.0
197,3.0,0.0,1958,863.0
198,3.0,0.0,1959,803.0
199,3.0,0.0,1960,886.0
200,3.0,0.0,1961,860.5
201,3.0,0.0,1962,878.2
202,3.0,0.0,1963,965.4
203,3.0,0.0,1964,985.25
204,3.0,0.0,1965,842.0
205,3.0,0.0,1966,843.0
206,3.0,0.0,1967,994.5
207,3.0,0.0,1970,658.0
208,3.0,0.0,1971,475.0
209,3.0,0.0,1972,737.5
210,3.0,0.0,1973,1000.0
211,3.0,0.0,1975,1177.0
212,3.0,0.0,1978,999.5
213,3.0,0.0,1979,1000.0
214,3.0,0.0,1982,747.3333333333334
215,3.0,0.0,1983,981.8235294117648
216,3.0,0.0,1984,973.6071428571429
217,3.0,0.0,1985,987.2903225806451
218,3.0,0.0,1986,880.327868852459
219,3.0,0.0,1987,886.2424242424242
220,3.0,0.0,1988,873.6066666666667
221,3.0,0.0,1989,856.5942028985507
222,3.0,0.0,1990,852.0566037735849
223,3.0,0.0,1991,870.9205298013245
224,3.0,0.0,1992,886.295918367347
225,3.0,0.0,1993,993.0
226,3.0,0.0,1994,963.6
227,3.0,0.0,1995,860.0
228,3.0,0.0,1996,953.8
229,3.0,0.0,1997,993.0
230,3.0,0.0,1998,726.5
231,3.0,0.0,1999,943.75
232,3.0,0.0,2000,993.0
233,3.0,0.0,2001,1189.0
234,3.0,0.0,2003,827.0
235,3.0,0.0,2004,898.0
236,3.0,0.0,2005,920.4285714285714
237,3.0,0.0,2006,1086.3333333333333
238,3.0,0.0,2007,927.2222222222222
239,3.0,0.0,2008,898.5
240,3.0,0.0,2009,890.8571428571429
241,3.0,0.0,2010,919.125
242,3.0,0.0,2011,916.0
243,3.0,0.0,2012,899.4285714285714
244,3.0,0.0,2013,879.0909090909091
245,3.0,0.0,2014,872.5
246,3.0,0.0,2015,998.2857142857143
247,3.0,0.0,2016,1108.1666666666667
248,3.0,0.0,2017,909.1
249,3.0,0.0,2018,921.6666666666666
250,3.0,0.0,2019,908.4615384615385
251,3.0,0.0,2020,767.9444444444445
252,3.0,0.0,2021,844.2941176470588
253,3.0,0.0,2022,891.0
